"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 26 19:00:30 EDT 2022","Sun Jun 26 19:00:32 EDT 2022","1661","","Handling multiple windows","","Handling multiple windows","Switch to second window Sanity","Switch to second window Sanity",""
"passed","Mon Jun 27 11:45:07 EDT 2022","Mon Jun 27 11:45:12 EDT 2022","5204","","Radio Buttons Automation","","Radio Buttons Automation","Select button Smoke","Select button Smoke",""
